,text,pos_tag,session,tier_name,start_time,end_time
232,dann,ADV,r1A,ORT-MAU,806.973646,807.323646
233,ja,ADV,r1A,ORT-MAU,807.553646,807.613646
234,wieder,ADV,r1A,ORT-MAU,807.613646,807.943646
235,so,ADV,r1A,ORT-MAU,807.943646,808.083646
236,n,X,r1A,ORT-MAU,808.083646,808.273646
237,Wohnzimmerküchemix,NOUN,r1A,ORT-MAU,808.343646,809.878104
238,ja,ADV,r1A,ORT-MAU,819.7565,820.103625
239,ja,ADV,r1A,ORT-MAU,820.103625,820.173625
240,ja,ADV,r1A,ORT-MAU,820.173625,820.273625
241,ja,ADV,r1A,ORT-MAU,820.273625,820.543625
242,okay,ADV,r1A,ORT-MAU,820.604812,820.968375
243,sagen,VERB,r1A,ORT-MAU,821.595771,821.795771
244,wir,PRON,r1A,ORT-MAU,821.795771,822.045771
245,vierzig,NUM,r1A,ORT-MAU,822.705771,822.945771
246,Quadratmeter,NOUN,r1A,ORT-MAU,822.945771,823.625771
247,das,PRON,r1A,ORT-MAU,823.625771,823.995771
248,Wo-,X,r1A,ORT-MAU,823.995771,824.294021
249,nee,X,r1A,ORT-MAU,825.402,825.589125
250,wir,PRON,r1A,ORT-MAU,825.589125,825.689125
251,hatten,AUX,r1A,ORT-MAU,825.689125,825.829125
252,gerade,ADV,r1A,ORT-MAU,825.829125,826.059125
253,achtzig,ADV,r1A,ORT-MAU,826.059125,826.743729
254,oh,PROPN,r1A,ORT-MAU,834.379979,834.529979
255,der,DET,r1A,ORT-MAU,834.529979,834.649979
256,Timer,NOUN,r1A,ORT-MAU,834.649979,834.899979
257,läuft,VERB,r1A,ORT-MAU,834.899979,835.049979
258,gar,ADV,r1A,ORT-MAU,835.109979,835.259979
259,nich,ADV,r1A,ORT-MAU,835.259979,835.419979
260,na,X,r1A,ORT-MAU,836.962542,837.202542
261,ja,ADV,r1A,ORT-MAU,837.302542,837.432542
262,gut,ADV,r1A,ORT-MAU,837.482542,837.712542
263,gut,ADV,r1A,ORT-MAU,837.712542,837.842542
264,ich,PRON,r1A,ORT-MAU,838.322542,838.632542
265,guck,NOUN,r1A,ORT-MAU,839.162542,839.392542
266,mal,ADV,r1A,ORT-MAU,839.492542,839.722542
267,so,ADV,r1A,ORT-MAU,839.722542,839.832542
268,grob,ADV,r1A,ORT-MAU,839.832542,840.062542
269,auf,ADP,r1A,ORT-MAU,840.062542,840.202542
270,die,DET,r1A,ORT-MAU,840.262542,840.322542
271,Uhr,NOUN,r1A,ORT-MAU,840.322542,840.552542
272,nee,X,r1A,ORT-MAU,845.786229,845.966229
273,da,ADV,r1A,ORT-MAU,845.966229,846.016229
274,läuft,VERB,r1A,ORT-MAU,846.016229,846.286229
275,nix,PRON,r1A,ORT-MAU,846.286229,846.426229
276,da,ADV,r1A,ORT-MAU,846.822479,846.909604
277,steht,VERB,r1A,ORT-MAU,846.909604,847.119604
278,fünfzehn,NUM,r1A,ORT-MAU,847.119604,847.499604
279,Minuten,NOUN,r1A,ORT-MAU,847.499604,847.729604
280,ja,ADV,r1A,ORT-MAU,849.860812,850.787937
281,gut,ADV,r1A,ORT-MAU,853.887417,854.057417
282,wo,ADV,r1A,ORT-MAU,854.057417,854.251167
283,ja,ADV,r1A,ORT-MAU,854.643187,854.952312
284,zwei,NUM,r1A,ORT-MAU,855.921812,856.178937
285,zwei,NUM,r1A,ORT-MAU,856.178937,856.428937
286,mal,ADV,r1A,ORT-MAU,856.428937,856.568937
287,fünfundzwanzig,ADV,r1A,ORT-MAU,856.568937,857.5665
288,und,CCONJ,r1A,ORT-MAU,858.484063,858.631188
289,dann,ADV,r1A,ORT-MAU,858.631188,859.09
290,genau,ADV,r1A,ORT-MAU,862.659167,862.959167
291,Gott,NOUN,r1A,ORT-MAU,865.393375,865.7205
292,ja,ADV,r1A,ORT-MAU,865.7205,866.007979
293,so,ADV,r1A,ORT-MAU,866.476125,866.716125
294,viel,PRON,r1A,ORT-MAU,866.716125,866.936125
295,Platz,NOUN,r1A,ORT-MAU,866.936125,868.286125
296,ja,ADV,r1A,ORT-MAU,870.217708,870.831146
297,n,X,r1A,ORT-MAU,875.237146,875.444271
298,An-,X,r1A,ORT-MAU,875.444271,875.912333
299,nee,X,r1A,ORT-MAU,877.808042,878.115167
300,nee,X,r1A,ORT-MAU,878.779208,879.036333
301,det,PRON,r1A,ORT-MAU,879.036333,879.171333
302,brauchen,VERB,r1A,ORT-MAU,879.171333,879.506333
303,wir,PRON,r1A,ORT-MAU,879.506333,879.616333
304,nich,ADV,r1A,ORT-MAU,879.616333,879.809313
305,häh,VERB,r1A,ORT-MAU,894.545313,894.755312
306,wir,PRON,r1A,ORT-MAU,894.755312,894.885313
307,haben,AUX,r1A,ORT-MAU,894.885313,894.995312
308,doch,CCONJ,r1A,ORT-MAU,894.995312,895.105312
309,unsere,DET,r1A,ORT-MAU,895.105312,895.335312
310,Zimmer,NOUN,r1A,ORT-MAU,895.335312,895.775313
311,jewei-,X,r1A,ORT-MAU,895.775313,896.105312
312,also,ADV,r1A,ORT-MAU,896.105312,896.370312
313,Flur,NOUN,r1A,ORT-MAU,896.370312,896.715312
314,ist,AUX,r1A,ORT-MAU,896.715312,896.835312
315,hier,ADV,r1A,ORT-MAU,896.835312,897.105312
316,und,CCONJ,r1A,ORT-MAU,897.245312,897.385313
317,unsere,DET,r1A,ORT-MAU,897.385313,897.705312
318,Zimmer,NOUN,r1A,ORT-MAU,897.705312,897.945312
319,hier,ADV,r1A,ORT-MAU,897.945312,898.255312
320,wie,ADP,r1A,ORT-MAU,898.414833,898.511958
321,willst,AUX,r1A,ORT-MAU,898.511958,898.701958
322,du,PRON,r1A,ORT-MAU,898.701958,898.771958
323,da,ADV,r1A,ORT-MAU,898.771958,899.021958
324,noch,ADV,r1A,ORT-MAU,899.071958,899.421958
325,n,X,r1A,ORT-MAU,899.421958,899.470896
326,ja,ADV,r1A,ORT-MAU,907.938333,908.005458
327,gut,ADV,r1A,ORT-MAU,908.005458,908.155458
328,aber,CCONJ,r1A,ORT-MAU,908.155458,908.265458
329,ich,PRON,r1A,ORT-MAU,908.265458,908.345458
330,finde,VERB,r1A,ORT-MAU,908.345458,908.585458
331,es,PRON,r1A,ORT-MAU,908.585458,908.710458
332,irgendwie,ADV,r1A,ORT-MAU,908.710458,909.225458
333,nicht,PART,r1A,ORT-MAU,909.225458,909.545458
